,1. open,2. high,3. low,4. close,5. volume
1999-12-31,139.3125,147.5625,139.0,146.875,121529300.0
2000-01-31,148.25,148.25,135.0,139.5625,156770800.0
2000-02-29,139.75,144.5625,132.7187,137.4375,186938300.0
2000-03-31,137.625,155.75,135.0312,150.375,247594900.0
2000-04-28,150.125,153.1093,133.5,145.0937,229246200.0
2000-05-31,146.5625,148.4843,136.5,142.8125,161024000.0
2000-06-30,143.6875,149.1562,143.0,145.2812,127146000.0
2000-07-31,145.4375,151.9843,141.5156,143.0,106780100.0
2000-08-31,143.625,153.0937,142.625,152.3437,102365500.0
2000-09-29,153.25,153.5937,142.125,143.625,113203000.0
2000-10-31,144.2812,145.75,130.1562,142.9531,178392400.0
2000-11-30,142.25,144.2968,129.75,132.2812,156699900.0
2000-12-29,133.1875,139.5625,125.5312,131.1875,165416700.0
2001-01-31,132.0,138.7,127.5625,137.02,181296400.0
2001-02-28,137.1,137.99,121.8,123.95,178607000.0
2001-03-30,124.05,127.75,108.04,116.69,318187200.0
2001-04-30,116.3,127.27,109.3,126.66,251839700.0
2001-05-31,125.07,132.09,123.44,125.95,208040000.0
2001-06-29,126.2,129.23,120.4,122.6,203578200.0
2001-07-31,122.8,124.32,116.75,121.35,196892900.0
2001-08-31,121.97,123.25,112.04,114.15,269599600.0
2001-09-28,113.85,116.17,93.8,104.44,419156100.0
2001-10-31,103.9,111.79,102.83,105.8,512612000.0
2001-11-30,106.6,116.9,105.7,114.05,372515000.0
2001-12-31,113.65,118.0,112.0,114.3,308403900.0
2002-01-31,115.11,117.99,108.4,113.18,349380000.0
2002-02-28,113.09,113.3,107.82,111.15,424492600.0
2002-03-28,111.72,117.9,111.51,114.52,385578100.0
2002-04-30,114.23,115.1,106.63,107.86,404461000.0
2002-05-31,107.97,111.25,104.9,107.22,452626500.0
2002-06-28,107.09,107.6,95.19,98.96,534883500.0
2002-07-31,99.18,99.8,77.68,91.16,1124248800.0
2002-08-30,90.88,97.15,83.55,91.78,936191200.0
2002-09-30,90.73,93.33,80.9,81.79,1013828600.0
2002-10-31,82.43,91.29,77.07,88.52,1344248100.0
2002-11-29,88.35,94.95,87.45,93.98,818243400.0
2002-12-31,95.47,96.05,87.11,88.23,728285900.0
2003-01-31,88.85,93.86,84.15,86.06,911319900.0
2003-02-28,86.14,86.81,81.0,84.9,862248300.0
2003-03-31,85.26,89.88,79.38,84.74,1156870200.0
2003-04-30,85.25,92.8,84.91,91.91,996114200.0
2003-05-30,91.92,97.09,90.5,96.95,881509900.0
2003-06-30,97.53,102.18,96.67,97.63,867970200.0
2003-07-31,97.25,101.9,96.43,99.39,895260500.0
2003-08-29,99.19,101.82,96.34,101.44,772702000.0
2003-09-30,101.64,104.7,99.25,99.95,818513400.0
2003-10-31,100.24,105.97,100.2,105.3,831700900.0
2003-11-28,105.75,106.95,103.62,106.45,630654200.0
2003-12-31,106.85,111.52,105.96,111.28,678350400.0
2004-01-30,111.74,116.5,110.73,113.48,737674000.0
2004-02-27,113.7,116.6,112.78,115.02,676976900.0
2004-03-31,115.43,116.97,108.85,113.1,1125003900.0
2004-04-30,113.07,115.41,110.9,110.96,968620900.0
2004-05-28,111.37,113.26,108.06,112.86,981083900.0
2004-06-30,112.46,114.94,111.87,114.53,721880400.0
2004-07-30,114.25,114.4,108.21,110.84,954619200.0
2004-08-31,110.19,111.63,106.59,111.11,922892000.0
2004-09-30,110.95,113.74,110.41,111.76,790891900.0
2004-10-29,112.26,114.68,109.35,113.2,1044071300.0
2004-11-30,113.56,119.14,113.2,117.89,961601700.0
2004-12-31,118.16,121.66,117.73,120.87,909170200.0
2005-01-31,121.56,121.76,116.37,118.16,1184211500.0
2005-02-28,118.25,121.67,118.1,120.63,1025608400.0
2005-03-31,120.82,123.25,116.25,117.96,1330548800.0
2005-04-29,118.63,119.26,113.55,115.75,1633318500.0
2005-05-31,116.07,120.25,114.8,119.48,1334647300.0
2005-06-30,119.52,121.94,118.75,119.18,1089322900.0
2005-07-29,119.45,124.64,118.26,123.74,1176306400.0
2005-08-31,123.83,124.74,120.38,122.58,1306564800.0
2005-09-30,122.52,124.74,120.44,123.04,1287005000.0
2005-10-31,122.96,123.34,116.88,120.13,1784566400.0
2005-11-30,120.58,127.41,120.13,125.41,1183732800.0
2005-12-30,126.02,128.09,124.36,124.51,1073146800.0
2006-01-31,125.19,129.44,124.39,127.5,1233910800.0
2006-02-28,127.82,130.04,125.4,128.23,1145244400.0
2006-03-31,128.6,131.47,127.18,129.83,1350777100.0
2006-04-28,130.07,131.86,128.02,131.47,1300327900.0
2006-05-31,131.47,132.8,124.76,127.51,1752747100.0
2006-06-30,127.38,129.43,122.34,127.28,2163829300.0
2006-07-31,127.43,128.14,122.39,127.85,1691301400.0
2006-08-31,127.34,131.04,126.28,130.64,1420345400.0
2006-09-29,131.14,133.99,129.35,133.58,1363687900.0
2006-10-31,133.54,139.0,132.65,137.79,1443344100.0
2006-11-30,138.22,141.16,135.62,140.53,1502059900.0
2006-12-29,140.53,143.24,138.97,141.62,1212756800.0
2007-01-31,142.25,144.13,140.25,143.75,1330329900.0
2007-02-28,144.15,146.42,139.0,140.93,1494548900.0
2007-03-30,139.34,143.81,136.75,142.0,2918304400.0
2007-04-30,142.16,149.8,141.48,148.29,1791289900.0
2007-05-31,148.42,153.89,147.67,153.32,2508178000.0
2007-06-29,153.88,154.4,148.06,150.43,3502885400.0
2007-07-31,150.87,155.53,145.04,145.72,3988676200.0
2007-08-31,145.18,150.59,137.0,147.59,6195918600.0
2007-09-28,147.45,154.39,144.33,152.58,2967009200.0
2007-10-31,152.6,157.52,148.66,154.65,3850069600.0
2007-11-30,153.29,153.41,140.66,148.66,5472709900.0
2007-12-31,148.19,152.89,143.96,146.21,3293787500.0
